count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean,state
0.0,,Apartment Unit,1000.0,2000.0,,,,,,,AR
58.0,78.9780834643,Retail - Uncategorized,10000.0,20000.0,115.224967717,22.6066693253,100.098581201,131.274924846,177.920441176,117.520934581,AR
11.0,110.736537044,Health Care - Inpatient,200000.0,14500000.0,173.780195049,29.3880790343,162.513018246,193.250779785,211.497095591,171.657098591,AR
0.0,,Residential - Other,0.0,1000.0,,,,,,,AR
0.0,,Food Sales,50000.0,100000.0,,,,,,,AR
49.0,89.0,Food Sales,100000.0,200000.0,113.0,13.6174033306,107.0,122.0,158.0,115.06122449,AR
21.0,29.0381152027,Retail - Uncategorized,20000.0,50000.0,57.1259699192,17.7179227979,50.477880814,74.0,98.0,60.2764702959,AR
28.0,29.8588957055,Service - Post office or postal center,10000.0,20000.0,64.012242268,25.677909795,57.8432432432,73.3518584299,179.981707317,67.5483003193,AR
14.0,183.0,Grocery store or food market,20000.0,50000.0,245.0,40.3506748516,223.75,260.75,359.0,246.579752976,AR
21.0,224.646936656,Food Service - Uncategorized,1000.0,2000.0,303.105714286,46.4993584042,281.444,336.23345367,392.132,309.70110757,AR
0.0,,Office - Government,50000.0,100000.0,,,,,,,AR
18.0,37.3607161983,Retail - Uncategorized,50000.0,100000.0,42.7736319865,8.99818813174,40.3799847802,48.0009552575,77.0,45.2694535623,AR
15.0,39.0952380952,Service - Post office or postal center,5000.0,10000.0,52.1803278689,195.589184316,47.4448304384,65.9358302776,811.875,106.00175625,AR
25.0,15.0321678491,Single Family - Detached,2000.0,5000.0,40.679338661,11.7696440406,30.1096105569,48.1738500182,67.7528535594,39.9706681306,AR
20.0,95.0,Food Sales,200000.0,14500000.0,110.5,10.2166015567,104.0,119.0,131.0,110.8,AR
11.0,93.7653846154,Commercial - Other,20000.0,50000.0,346.906122449,190.64441949,296.343277908,592.388035935,707.77076412,408.227134794,AR
0.0,,Retail - Small Box (< 50K sf),20000.0,50000.0,,,,,,,AR
0.0,,Multifamily - Uncategorized,20000.0,50000.0,,,,,,,AR
13.0,9.63595823649,Apartment Unit,0.0,1000.0,35.7376173635,24.8890785837,23.3370995179,51.3708195519,107.624919785,40.8643047797,AR
20.0,6.87182772462,Single Family - Detached,1000.0,2000.0,66.5339557385,24.514978671,48.283645274,82.6188946791,96.4184678305,62.9104271969,AR
0.0,,Retail - Big Box (> 50K sf),50000.0,100000.0,,,,,,,AR
0.0,,Retail - Uncategorized,100000.0,200000.0,,,,,,,AR
49.0,13.1705882353,Service - Post office or postal center,20000.0,50000.0,53.3295454545,17.0032698488,46.9473684211,62.5031446541,107.766055046,55.7385211223,AZ
30.0,7.21387283237,Service - Post office or postal center,10000.0,20000.0,61.0623427453,39.4770095402,55.6271235843,88.0035454545,209.121212121,75.6685106568,AZ
59.0,17.6413918333,Education - Other classroom,50000.0,100000.0,30.7329880082,11.6755452736,25.5366944295,37.424218978,67.6619784852,33.183041576,AZ
238.0,37.6075968755,Retail - Uncategorized,10000.0,20000.0,109.496457079,22.7090891578,98.461149453,121.187377221,182.187310612,112.150320941,AZ
28.0,7.95555964261,Office - Uncategorized,10000.0,20000.0,39.8213412164,13.6616905273,35.140452026,49.354440546,64.2270789687,40.9318120061,AZ
92.0,8.96044748185,Office - Uncategorized,200000.0,14500000.0,53.6072868398,21.4370986368,38.4406584128,63.6210620039,114.25008407,53.106382732,AZ
89.0,11.1024155496,Commercial - Uncategorized,200000.0,14500000.0,28.4788233158,11.063247028,22.7508142704,35.7863893649,66.5395893651,30.5028164179,AZ
61.0,3.0,Retail - Uncategorized,20000.0,50000.0,56.0,14.855483781,52.4124111725,65.0,90.0,57.7538629817,AZ
71.0,24.2515640084,Grocery store or food market,50000.0,100000.0,151.738785818,43.0127410232,136.041169879,161.942183709,354.256246019,149.816630801,AZ
20.0,17.8138923553,Commercial - Uncategorized,100000.0,200000.0,40.759665049,20.0441907916,28.9680117544,49.4874044414,90.884121167,42.8719441969,AZ
66.0,28.7189215506,Education - Elementary or middle school,50000.0,100000.0,37.7383739105,22.7771110893,32.9824840266,42.9660598983,144.687545173,43.5422939863,AZ
24.0,72.0,Food Sales,100000.0,200000.0,96.0,11.0071617003,88.75,102.25,117.0,96.125,AZ
103.0,22.3555526573,Office - Uncategorized,100000.0,200000.0,61.4130420672,32.0840677404,49.5826387677,74.4350622168,220.325810992,67.1576765808,AZ
27.0,1.82841068917,Food Service - Uncategorized,1000.0,2000.0,340.152694611,93.1347016463,309.555680642,389.418705357,496.318333333,343.06482991,AZ
46.0,16.8883506235,Retail - Uncategorized,50000.0,100000.0,44.1831398753,24.4103087257,42.0365829856,48.3621366606,165.071961221,48.4757139317,AZ
26.0,1.8402100282,Grocery store or food market,20000.0,50000.0,181.5,50.5854210383,165.0,204.5,278.593193548,182.105261442,AZ
67.0,8.44494717366,Single Family - Detached,2000.0,5000.0,28.8742562663,12.867658206,19.619476988,36.6108458185,68.3969717466,30.0245618254,AZ
33.0,81.0,Food Sales,200000.0,14500000.0,94.0,16.0380111931,89.0,97.0,177.0,95.303030303,AZ
69.0,12.186566529,Office - Uncategorized,50000.0,100000.0,50.5724233395,33.3170088684,38.9944736123,63.110055399,192.556603774,58.3099459317,AZ
0.0,,Food Service - Uncategorized,2000.0,5000.0,,,,,,,AZ
30.0,21.1403328138,Single Family - Detached,1000.0,2000.0,32.7872346058,14.4048430599,30.719953696,47.3143051874,71.2213529946,39.846951934,AZ
25.0,21.0505242946,Retail - Big Box (> 50K sf),50000.0,100000.0,45.9403803194,7.3143068742,42.4949837823,46.9928986598,49.7026903656,43.5101883106,AZ
36.0,7.69789005342,Office - Uncategorized,20000.0,50000.0,50.0980034595,118.828056254,42.2008711664,57.545887204,737.998503391,77.9774700234,AZ
22.0,17.0770066194,Education - Other classroom,100000.0,200000.0,31.827043144,9.29882706811,26.4904518168,36.5287721811,50.1592611807,33.1366199976,AZ
39.0,6.0,Retail - Uncategorized,100000.0,200000.0,61.284151245,15.2711420799,44.5459800385,65.0853098727,77.3183822767,55.763795419,AZ
84707.0,1.1601910363,Apartment Unit,1000.0,2000.0,24.1006251274,12.7848860941,16.1575272808,32.8384244252,246.480118002,25.6514742194,CA
563.0,5.50084457388,Retail - Uncategorized,10000.0,20000.0,92.3254725915,30.6606792433,79.7470927406,106.631446291,323.200614917,91.912278533,CA
480.0,9.16251377997,Education - Elementary or middle school,20000.0,50000.0,28.3213363798,9.35727922198,22.7154913333,33.9917619538,74.4187526987,29.4227740486,CA
1229.0,5.76996646201,Office - Uncategorized,200000.0,14500000.0,49.0419503444,24.8782421275,38.8000738205,61.5122510947,289.939711003,52.7907490475,CA
494.0,1.25042078178,Apartment Unit,5000.0,10000.0,12.0881190931,16.70043665,7.14075429731,22.888849319,180.43328965,17.8355764648,CA
285521.0,1.07720300577,Single Family - Uncategorized,1000.0,2000.0,33.7681244537,16.5221038666,24.4179768038,44.3777140248,343.610534851,35.6082319807,CA
13369.0,1.21685712036,Apartment Unit,2000.0,5000.0,18.5950380328,11.4023011215,12.1398719622,26.2409890862,132.567981137,20.5057297982,CA
357.0,2.0,Retail - Uncategorized,20000.0,50000.0,46.5818023571,18.4171908356,37.6368495609,60.0,132.900252854,49.2029913389,CA
409.0,11.2579740573,Education - Elementary or middle school,50000.0,100000.0,25.3156368509,12.189809469,21.6829384635,31.1616682292,145.505065115,27.9695592255,CA
916.0,2.4016663002,Office - Uncategorized,100000.0,200000.0,55.7136569915,34.7930983876,44.4397479895,69.9078747478,514.872109396,60.6732351392,CA
560.0,8.23195362714,Commercial - Uncategorized,200000.0,14500000.0,31.3055797924,49.4858245245,24.1191775286,42.1715827292,465.507643275,45.0446017139,CA
181454.0,1.00823154406,Single Family - Uncategorized,2000.0,5000.0,23.8418594925,12.2977575799,16.9224011978,31.4689094907,323.932767896,25.2923800705,CA
1993.0,3.86125630237,Manufactured Home,1000.0,2000.0,27.3537104306,13.1792898356,18.3332056391,36.4446940252,105.700966639,28.141676544,CA
224.0,5.35556623698,Retail - Uncategorized,50000.0,100000.0,33.3483921621,18.6708360616,23.6270513341,40.8549756765,144.200274354,35.8665499256,CA
462.0,1.51513430281,Single Family - Detached,2000.0,5000.0,25.7349477556,13.6362223728,17.8265507779,35.0618731751,96.9730483474,27.3120662968,CA
771.0,4.81244787617,Office - Uncategorized,50000.0,100000.0,55.1487950119,36.5262616576,43.7517895633,69.0070955631,396.837110482,61.3533955615,CA
247.0,5.08050028215,Manufactured Home,2000.0,5000.0,17.8691633279,9.11393465714,12.7353109084,24.4273350028,64.559483526,19.3775082425,CA
40700.0,1.10877737235,Apartment Unit,0.0,1000.0,20.5318341745,14.9527468069,14.0446187924,31.1420793571,368.798004078,24.3975577204,CA
249.0,3.0,Retail - Uncategorized,100000.0,200000.0,45.5367869373,27.6140786121,31.5283042408,57.3287867285,390.74813465,46.4593808065,CA
339.0,4.83906087391,Single Family - Detached,1000.0,2000.0,40.0772187843,20.4214069812,28.7408943559,52.9339564447,138.27382033,42.5037454765,CA
4027.0,2.03755328053,Single Family - Uncategorized,5000.0,10000.0,22.4440822449,17.7938058039,13.7840499814,33.2685655852,276.031515914,26.0170142123,CA
537.0,4.2405137147,Office - Uncategorized,20000.0,50000.0,48.4016687176,39.2031625529,35.7986973678,65.1001238587,430.927158174,55.9741860253,CA
371.0,5.32220154007,Food Service - Restaurant or cafeteria,2000.0,5000.0,616.179878279,167.28002048,528.724790027,737.197759621,994.427064618,619.622471534,CA
31850.0,2.04112671016,Single Family - Uncategorized,0.0,1000.0,47.6322455368,24.2544068354,34.4538339961,63.1766085293,336.089636565,50.5690884908,CA
852.0,3.93273092369,Food Service - Uncategorized,1000.0,2000.0,314.041861472,67.7099979478,275.61465625,353.296543478,768.884827586,317.666481763,CA
67.0,35.4135259943,Education - Other classroom,50000.0,100000.0,60.3131227122,11.3694212769,48.715497635,66.0735594354,84.0234065507,58.5340093602,CO
142.0,48.509646954,Retail - Uncategorized,10000.0,20000.0,117.312241827,20.3162757223,104.331618263,131.061762453,181.524224733,117.437365392,CO
56.0,34.950568218,Education - Elementary or middle school,20000.0,50000.0,60.6736098691,12.2355161102,54.095673259,67.8427229096,93.1344121748,61.9978229338,CO
82.0,2.99420221858,Commercial - Unknown,20000.0,50000.0,57.9602635739,53.5634177983,24.3705042801,84.0762676047,302.360205258,63.5227213563,CO
80.0,3.33476086885,Commercial - Unknown,2000.0,5000.0,90.4488149497,124.442198088,48.9343275677,189.14569762,714.00544586,129.952704597,CO
198.0,16.224087956,Office - Uncategorized,200000.0,14500000.0,56.87582433,22.6934494497,44.4563323354,68.510479129,182.151442308,57.9315379934,CO
124.0,1.48447853334,Commercial - Unknown,10000.0,20000.0,52.1635817825,74.847720255,30.3374794692,88.0421211769,479.001683305,73.0505550307,CO
62.0,18.0,Retail - Uncategorized,20000.0,50000.0,57.7216406658,14.5195395383,51.8046801905,65.0,96.0,59.2922159718,CO
41.0,96.1814630781,Grocery store or food market,50000.0,100000.0,177.044518426,62.2636274403,163.880026997,190.0,442.642894048,189.941589275,CO
149.0,12.252183234,Education - Elementary or middle school,50000.0,100000.0,56.5332550775,12.9375685576,47.6998483042,64.3747770755,83.5383147869,55.3500586483,CO
45.0,66.0,Food Sales,100000.0,200000.0,103.0,16.3724947964,92.0,112.0,145.0,102.377777778,CO
37.0,20.0418182352,Commercial - Unknown,1000.0,2000.0,172.619719731,223.551591974,88.2389301359,271.630432329,964.664951382,237.749412805,CO
183.0,6.31083333333,Office - Uncategorized,100000.0,200000.0,65.0054657421,40.1789940087,55.8708457004,76.6886552495,283.330918916,74.3700491796,CO
115.0,11.599764233,Commercial - Uncategorized,200000.0,14500000.0,31.0759428942,17.9378443997,25.3243259499,42.1978875565,151.533102866,35.4765254291,CO
0.0,,Single Family - Uncategorized,2000.0,5000.0,,,,,,,CO
46.0,29.8876082976,Retail - Uncategorized,50000.0,100000.0,41.4875369759,9.83268771882,36.5377482483,51.4158786112,66.0,44.5578934016,CO
48.0,5.32450958658,Single Family - Detached,2000.0,5000.0,30.891107513,19.4214168094,12.2323645562,39.1391089513,72.8715758984,30.1194333362,CO
80.0,8.14849892599,Commercial - Unknown,5000.0,10000.0,52.7857161978,75.9075310503,37.7556469908,82.9144064996,484.343396571,74.0338395441,CO
19.0,27.2189716495,Commercial - Unknown,0.0,1000.0,100.240200776,56.8602030794,73.0692800405,122.041314729,250.352230966,108.227972922,CO
143.0,28.8206239386,Office - Uncategorized,50000.0,100000.0,67.3154484933,82.9199290417,56.6669791074,81.8285132889,802.592911555,80.8237621084,CO
43.0,16.6125569979,Commercial - Uncategorized,100000.0,200000.0,34.9394367775,33.32612766,26.9705926379,82.4737047672,158.003347984,51.1557813518,CO
156.0,169.778446719,Food Service - Uncategorized,1000.0,2000.0,304.508169935,61.3832129386,275.55518839,342.7465,614.433270082,317.088706704,CO
60.0,29.9427499178,Office - Uncategorized,20000.0,50000.0,73.5883123004,46.6366346757,62.2082291923,87.5262891811,289.670104766,83.4924219161,CO
25.0,2.32845405113,Commercial - Unknown,50000.0,100000.0,25.2499519943,20.8946311744,13.8003629047,40.6573798365,79.7180725099,30.4578092938,CO
47.0,22.0,Retail - Uncategorized,100000.0,200000.0,60.5503534239,21.6261512397,44.6852009324,78.0611853149,96.6860303578,60.6136740216,CO
13.0,51.8918918919,Service - Post office or postal center,20000.0,50000.0,85.7109004739,52.8053247931,63.2857142857,118.626146789,246.370192308,99.6903857407,CT
49.0,213.910666667,Food Service - Uncategorized,1000.0,2000.0,304.539634146,56.7730531517,281.485399449,342.752,511.368333333,312.996191943,CT
0.0,,Apartment Unit,1000.0,2000.0,,,,,,,CT
99.0,29.8532109382,Retail - Uncategorized,10000.0,20000.0,108.208196721,33.2394234196,75.9276487949,125.480070966,234.619097587,103.432713553,CT
43.0,27.9609427228,Office - Uncategorized,200000.0,14500000.0,66.1277814993,28.2077055947,56.4429620794,81.6884089171,186.128002806,68.8673857663,CT
0.0,,Single Family - Uncategorized,1000.0,2000.0,,,,,,,CT
64.0,43.5246883107,Retail - Uncategorized,20000.0,50000.0,59.8442099148,13.5104937193,53.8279957958,66.8417253871,103.0,62.4996674904,CT
13.0,31.0493362859,Education - Elementary or middle school,50000.0,100000.0,56.04822726,10.6754417244,47.6578567686,63.7469751533,72.2773857932,55.0300225205,CT
10.0,109.0,Food Sales,100000.0,200000.0,128.0,23.5739969741,117.75,142.25,189.0,132.8,CT
19.0,28.4102010298,Office - Uncategorized,100000.0,200000.0,68.4990722442,22.6166219979,50.0679071107,82.2590127378,102.6687111,67.3234085599,CT
19.0,12.4452334371,Commercial - Uncategorized,200000.0,14500000.0,32.1914725488,10.6203703118,27.6552153344,37.1010509505,59.2066469232,33.3221564825,CT
0.0,,Single Family - Uncategorized,2000.0,5000.0,,,,,,,CT
17.0,20.9121820872,Retail - Uncategorized,50000.0,100000.0,38.9319015241,7.4765497783,34.7086582502,41.5436997507,46.3563815566,36.5018711507,CT
52.0,2.89235579465,Single Family - Detached,2000.0,5000.0,24.1944788099,15.056150745,15.6922652846,34.3415026186,77.5248567456,25.7237643694,CT
15.0,32.0141313331,Retail - Big Box (> 50K sf),100000.0,200000.0,75.0,23.5861751991,46.1004880895,86.0,105.0,70.0353493716,CT
12.0,21.8112696863,Office - Uncategorized,50000.0,100000.0,56.6080998586,18.3380500725,47.2304151766,63.4201230776,96.1288404693,55.9321425628,CT
0.0,,Food Service - Uncategorized,2000.0,5000.0,,,,,,,CT
17.0,4.69782009004,Apartment Unit,0.0,1000.0,14.1372229511,6.5304435018,12.6663173058,16.1071069805,33.6543038559,14.7640172544,CT
0.0,,Single Family - Detached,1000.0,2000.0,,,,,,,CT
0.0,,Single Family - Uncategorized,5000.0,10000.0,,,,,,,CT
20.0,34.6736299449,Retail - Big Box (> 50K sf),50000.0,100000.0,40.9193762692,18.4236786722,37.8457384866,64.0,91.0,50.9503349866,CT
11.0,76.0594885203,Retail - Uncategorized,5000.0,10000.0,141.204513727,38.3709203607,108.295950191,160.581238996,187.970196163,133.064646756,CT
0.0,,Single Family - Uncategorized,0.0,1000.0,,,,,,,CT
30.0,18.0,Retail - Uncategorized,100000.0,200000.0,44.2453511646,16.7912172484,36.6663029697,61.7770202465,95.3982189015,48.0661361722,CT
14.0,3.64239886881,Single Family - Detached,5000.0,10000.0,20.3032407866,13.158077557,10.1502583427,29.8929867662,42.7890255637,20.859353087,CT
61.0,3.66832955996,Education - Uncategorized,50000.0,100000.0,75.3782626106,26.7332918783,56.1895444865,86.0436962263,131.869759501,72.3025606925,DC
61.0,5.03542092969,Education - Other classroom,50000.0,100000.0,51.0392802614,21.2542936932,38.0553504967,62.2803348587,111.365393166,50.5628463892,DC
22.0,11.5754224073,Commercial - Other,200000.0,14500000.0,62.5783831538,68.8841141342,31.2829854413,124.360742852,281.735938527,83.3314902443,DC
16.0,18.9391377278,Education - College or university,100000.0,200000.0,51.2376687044,67.3544035082,38.9773128196,73.0843432235,283.350357434,72.8051847918,DC
175.0,3.10066807345,Multifamily - Uncategorized,100000.0,200000.0,46.6217132279,26.3584994475,23.7507129839,64.0202981124,132.984224722,46.5875348665,DC
884.0,3.9551487398,Office - Uncategorized,200000.0,14500000.0,28.4095410567,25.8418533907,18.8948361717,58.3541647766,229.759717314,39.3083111564,DC
12.0,1.6935605992,Commercial - Other,100000.0,200000.0,86.5363389751,78.7881142943,66.6857332697,103.892492762,323.138239439,95.9407294211,DC
24.0,2.29187676994,Education - College or university,200000.0,14500000.0,70.0032755493,99.304258634,51.0990158546,100.820833046,398.023609231,99.4177150134,DC
296.0,4.1422081796,Office - Uncategorized,100000.0,200000.0,30.8453769226,27.9019122209,19.9051077188,60.6212247585,227.393273037,41.6647387931,DC
19.0,9.1333942834,Education - Uncategorized,100000.0,200000.0,68.3746469946,59.3624228538,45.9302779841,90.3224646854,236.239028593,79.1155613757,DC
212.0,1.40099661264,Multifamily - Uncategorized,50000.0,100000.0,47.0274712046,29.0868561978,18.3321697306,64.8288081803,152.544732085,45.4659298344,DC
0.0,,Food Service - Uncategorized,1000.0,2000.0,,,,,,,DC
17.0,15.7145505255,Lodging - Hotel,50000.0,100000.0,67.234196585,56.5183784867,41.5379182875,128.703244869,203.41945482,84.9894248412,DC
17.0,40.1435495247,Service - Other service,10000.0,20000.0,71.4496968891,22.6801095969,59.0751094963,93.2506000423,118.678227577,74.2261131953,DC
139.0,2.51878862885,Office - Uncategorized,50000.0,100000.0,32.7817491672,34.8209855051,21.3154548725,52.3782794004,283.916334126,42.1521499015,DC
15.0,6.46965796236,Education - Other classroom,200000.0,14500000.0,41.3034436506,19.918492962,35.7611996557,58.2030569648,83.6010169505,44.4789584019,DC
15.0,26.5020357015,Commercial - Uncategorized,100000.0,200000.0,44.155515479,10.1585790043,37.5270712012,49.4446454587,58.6661280528,42.9194017961,DC
12.0,12.3637636811,Public Safety - Fire or police station,20000.0,50000.0,71.5754470322,41.9187638402,58.7388090059,107.649394255,143.530383826,78.2153773501,DC
40.0,8.83642171938,Lodging - Hotel,100000.0,200000.0,53.9385071616,31.4496554989,41.0795681065,84.0256101565,134.625646613,63.0045218787,DC
20.0,15.8444504223,Office - Uncategorized,20000.0,50000.0,29.2110596758,26.2916479254,24.131044429,49.9648734075,104.651652597,41.404323576,DC
183.0,1.18451209989,Multifamily - Uncategorized,200000.0,14500000.0,36.0749011877,26.9700009785,16.8041800248,52.9598280307,169.36281524,37.9233641433,DC
25.0,1.99306464885,Education - Other classroom,100000.0,200000.0,47.6101042713,30.3560445874,23.1632068039,54.079973401,125.924989141,45.8868196938,DC
169.0,10.8772319806,Commercial - Uncategorized,200000.0,14500000.0,42.3459522448,13.3295063358,32.9335328896,50.5608216651,101.779538724,42.7735087176,DC
52.0,14.5742036489,Lodging - Hotel,200000.0,14500000.0,64.091560127,32.3305779015,49.4467130751,74.8942953818,184.800165018,68.0562836216,DC
17.0,10.0427782893,Lodging - Dormitory or fraternity/sorority,50000.0,100000.0,55.6185673577,25.2085375674,42.2805569587,78.4768804242,96.9026853277,56.7400452122,DC
51.0,32.3,Retail - Uncategorized,10000.0,20000.0,99.2255296326,31.6390902583,89.8663045397,107.749572324,263.202161102,100.497754447,DE
11.0,17.2816329989,Office - Uncategorized,10000.0,20000.0,62.9080488692,88.3253414328,46.6585049883,85.6682377188,312.595114656,94.1325095265,DE
0.0,,Commercial - Unknown,20000.0,50000.0,,,,,,,DE
23.0,4.52380823115,Office - Uncategorized,5000.0,10000.0,58.8340024087,162.707005734,39.8204944685,110.993976731,732.92345544,115.681377595,DE
0.0,,Office - Uncategorized,200000.0,14500000.0,,,,,,,DE
14.0,43.6815635084,Retail - Uncategorized,20000.0,50000.0,62.3215492889,14.4545248473,55.3124804591,76.9,89.0,66.1234326062,DE
0.0,,Service - Post office or postal center,10000.0,20000.0,,,,,,,DE
21.0,43.2524056689,Education - Elementary or middle school,50000.0,100000.0,54.5650610328,7.32701273957,51.4961020482,59.2586490859,71.625457315,55.8820330789,DE
0.0,,Commercial - Unknown,10000.0,20000.0,,,,,,,DE
19.0,65.3102676486,Office - Bank or other financial,2000.0,5000.0,105.658331842,28.4813928075,74.8345589963,114.870816909,169.559525101,100.491914753,DE
11.0,40.3647745621,Office - Bank or other financial,5000.0,10000.0,68.1032080276,21.3369895726,57.2088060501,74.1789086448,116.550214691,69.6991988474,DE
20.0,39.6,Retail - Uncategorized,2000.0,5000.0,87.6,38.3538569306,70.65,109.85,185.7,95.1499697338,DE
0.0,,Food Service - Uncategorized,1000.0,2000.0,,,,,,,DE
0.0,,Retail - Uncategorized,100000.0,200000.0,,,,,,,DE
0.0,,Service - Uncategorized,10000.0,20000.0,,,,,,,DE
0.0,,Retail - Uncategorized,50000.0,100000.0,,,,,,,DE
0.0,,5+ Unit Building,100000.0,200000.0,,,,,,,DE
17.0,18.9352916948,Office - Uncategorized,50000.0,100000.0,58.6996575736,88.6259156938,47.4732352559,97.3077539587,346.821987087,98.9801249359,DE
0.0,,Commercial - Uncategorized,100000.0,200000.0,,,,,,,DE
0.0,,Office - Uncategorized,100000.0,200000.0,,,,,,,DE
